75,But<comma> lords<comma> in all our bloody massacre<comma> I muse we met not with the Dauphin’s grace<comma> His new-come champion<comma> virtuous Joan of Arc<comma> Nor any of his false confederates,met not
76,What you have done hath not offended me<comma> Nor other satisfaction do I crave But only<comma> with your patience<comma> that we may Taste of your wine and see what cates you have<comma> For soldiers’ stomachs always serve them well,hath not
77,Prick not your finger as you pluck it off<comma> Lest<comma> bleeding<comma> you do paint the white rose red<comma> And fall on my side so against your will,Prick not
78,Hath not thy rose a canker<comma> Somerset,Hath not
79,Hath not thy rose a thorn<comma> Plantagenet,Hath not
80,Well<comma> I’ll find friends to wear my bleeding roses That shall maintain what I have said is true<comma> Where false Plantagenet dare not be seen,dare not
81,Turn not thy scorns this way<comma> Plantagenet,Turn not
82,He bears him on the place’s privilege<comma> Or durst not for his craven heart say thus,durst not
83,And<comma> by his treason<comma> stand’st not thou attainted<comma> Corrupted<comma> and exempt from ancient gentry,stand’st not
84,I will<comma> if that my fading breath permit And death approach not ere my tale be done,approach not
85,Mourn not<comma> except thou sorrow for my good; Only give order for my funeral,Mourn not
86,And for those wrongs<comma> those bitter injuries<comma> Which Somerset hath offered to my house<comma> I doubt not but with honor to redress,doubt not
87,Think not<comma> although in writing I preferred The manner of thy vile outrageous crimes<comma> That therefore I have forged or am not able Verbatim to rehearse the method of my pen,Think not
88,Or how haps it I seek not to advance Or raise myself<comma> but keep my wonted calling,seek not
89,It fitteth not a prelate so to plead,fitteth not
90,I speak not to that railing Hecate<comma> But unto thee<comma> Alanson<comma> and the rest,speak not
91,Base muleteers of France<comma> Like peasant footboys do they keep the walls And dare not take up arms like gentlemen,dare not
92,Dismay not<comma> princes<comma> at this accident<comma> Nor grieve that Roan is so recoverèd,Dismay not
93,O<comma> turn thy edgèd sword another way; Strike those that hurt<comma> and hurt not those that help,hurt not
94,He fables not; I hear the enemy,fables not
95,Let not your private discord keep away The levied succors that should lend him aid<comma> While he<comma> renownèd noble gentleman<comma> Yield up his life unto a world of odds,Let not
96,Come<comma> dally not<comma> be gone,dally not
97,O<comma> if you love my mother<comma> Dishonor not her honorable name To make a bastard and a slave of me,Dishonor not
98,If I today die not with Frenchmen’s rage<comma> Tomorrow I shall die with mickle age,die not
99,The sword of Orleance hath not made me smart; These words of yours draw lifeblood from my heart,hath not
100,We English warriors wot not what it means,wot not
101,The Turk<comma> that two-and-fifty kingdoms hath<comma> Writes not so tedious a style as this,Writes not
102,Then march to Paris<comma> royal Charles of France<comma> And keep not back your powers in dalliance,keep not
103,Now he is gone<comma> my lord<comma> you need not fear,need not
104,Fain would I woo her<comma> yet I dare not speak,dare not
105,Fie<comma> de la Pole<comma> disable not thyself,disable not
106,Hast not a tongue,Hast not
107,Perhaps I shall be rescued by the French<comma> And then I need not crave his courtesy,need not
108,Murder not then the fruit within my womb<comma> Although you hale me to a violent death,Murder not
109,I think she knows not well— There were so many— whom she may accuse,knows not
110,Disgrace not so your king That he should be so abject<comma> base<comma> and poor<comma> To choose for wealth and not for perfect love,Disgrace not
111,O<comma> such a day<comma> So fought<comma> so followed<comma> and so fairly won<comma> Came not till now to dignify the times Since Caesar’s fortunes,Came not
112,My lord<comma> I’ll tell you what: If my young lord your son have not the day<comma> Upon mine honor<comma> for a silken point I’ll give my barony,have not
113,Yet<comma> for all this<comma> say not that Percy’s dead,say not
114,The tongue offends not that reports his death; And he doth sin that doth belie the dead<comma> Not he which says the dead is not alive,offends not
115,I am sorry I should force you to believe That which I would to God I had not seen<comma> But these mine eyes saw him in bloody state<comma> Rend’ring faint quittance<comma> wearied and outbreathed<comma> To Harry Monmouth<comma> whose swift wrath beat down The never-daunted Percy to the earth<comma> From whence with life he never more sprung up,had not
116,And as the thing that’s heavy in itself Upon enforcement flies with greatest speed<comma> So did our men<comma> heavy in Hotspur’s loss<comma> Lend to this weight such lightness with their fear That arrows fled not swifter toward their aim Than did our soldiers<comma> aiming at their safety<comma> Fly from the field,fled not
117,Now let not Nature’s hand Keep the wild flood confined,let not
118,Sweet earl<comma> divorce not wisdom from your honor,divorce not
119,He liked not the security,liked not
120,I talk not of his Majesty,talk not
121,I think you are fallen into the disease<comma> for you hear not what I say to you,hear not
122,To punish you by the heels would amend the attention of your ears<comma> and I care not if I do become your physician,care not
123,Wake not a sleeping wolf,Wake not
124,You that are old consider not the capacities of us that are young,consider not
126,But look you pray<comma> all you that kiss my Lady Peace at home<comma> that our armies join not in a hot day<comma> for<comma> by the Lord<comma> I take but two shirts out with me<comma> and I mean not to sweat extraordinarily,mean not
127,Yes<comma> if this present quality of war— Indeed the instant action<comma> a cause on foot— Lives so in hope<comma> as in an early spring We see th’ appearing buds<comma> which to prove fruit Hope gives not so much warrant as despair That frosts will bite them,gives not
128,That he should draw his several strengths together And come against us in full puissance Need not to be dreaded,Need not
129,He cares not what mischief he does,cares not
130,If I can close with him<comma> I care not for his thrust,care not
131,I had thought weariness durst not have attached one of so high blood,durst not
133,But that the tennis-court keeper knows better than I<comma> for it is a low ebb of linen with thee when thou keepest not racket there<comma> as thou hast not done a great while<comma> because the rest of the low countries have made a shift to eat up thy holland; and God knows whether those that bawl out the ruins of thy linen shall inherit His kingdom; but the midwives say the children are not in the fault<comma> whereupon the world increases and kindreds are mightily strengthened,hast not
134,He had him from me Christian<comma> and look if the fat villain have not transformed him ape,have not
135,Has not the boy profited,Has not
136,Marry<comma> the immortal part needs a physician<comma> but that moves not him,moves not
137,Put not you on the visage of the times And be<comma> like them<comma> to Percy troublesome,Put not
138,O yet<comma> for God’s sake<comma> go not to these wars,go not
139,He had no legs that practiced not his gait; And speaking thick<comma> which nature made his blemish<comma> Became the accents of the valiant; For those that could speak low and tardily Would turn their own perfection to abuse To seem like him,practiced not
140,You have not seen a hulk better stuffed in the hold,have not
141,I have not lived all this while to have swaggering now,have not
142,And your ancient swaggerer comes not in my doors,comes not
143,Look whe’er the withered elder hath not his poll clawed like a parrot,hath not
144,My lord<comma> he will drive you out of your revenge and turn all to a merriment if you take not the heat,take not
145,Not to dispraise me and call me pantler and bread-chipper and I know not what,know not
146,You had not four such swinge-bucklers in all the Inns o’ Court again,had not
147,By this day<comma> I know not the phrase<comma> but I will maintain the word with my sword to be a soldierlike word<comma> and a word of exceeding good command<comma> by heaven,know not
148,You need not to have pricked me,need not
149,If that rebellion Came like itself<comma> in base and abject routs<comma> Led on by bloody youth<comma> guarded with rage<comma> And countenanced by boys and beggary— I say<comma> if damned commotion so appeared In his true<comma> native<comma> and most proper shape<comma> You<comma> reverend father<comma> and these noble lords Had not been here to dress the ugly form Of base and bloody insurrection With your fair honors,Had not
150,But<comma> my most noble Lord of Westmoreland<comma> I take not on me here as a physician<comma> Nor do I as an enemy to peace Troop in the throngs of military men<comma> But rather show awhile like fearful war To diet rank minds sick of happiness And purge th’ obstructions which begin to stop Our very veins of life,take not
151,You speak<comma> Lord Mowbray<comma> now you know not what,know not
152,Who hath not heard it spoken How deep you were within the books of God<comma> To us the speaker in His parliament<comma> To us th’ imagined voice of God Himself<comma> The very opener and intelligencer Between the grace<comma> the sanctities<comma> of heaven<comma> And our dull workings,hath not
153,And I beseech your Grace let it be booked with the rest of this day’s deeds<comma> or<comma> by the Lord<comma> I will have it in a particular ballad else<comma> with mine own picture on the top on ’t<comma> Colevile kissing my foot; to the which course if I be enforced<comma> if you do not all show like gilt twopences to me<comma> and I in the clear sky of fame o’ershine you as much as the full moon doth the cinders of the element( which show like pins’ heads to her)<comma> believe not the word of the noble,believe not
154,I know not how they sold themselves<comma> but thou<comma> like a kind fellow<comma> gavest thyself away gratis<comma> and I thank thee for thee,know not
155,Both which we doubt not but your Majesty Shall soon enjoy,doubt not
156,Therefore omit him not<comma> blunt not his love<comma> Nor lose the good advantage of his grace By seeming cold or careless of his will,blunt not
157,By his gates of breath There lies a downy feather which stirs not; Did he suspire<comma> that light and weightless down Perforce must move,stirs not
158,He came not through the chamber where we stayed,came not
159,O<comma> good my lord<comma> you have lost a friend indeed<comma> And I dare swear you borrow not that face Of seeming sorrow; it is sure your own,borrow not
160,This new and gorgeous garment majesty Sits not so easy on me as you think,Sits not
161,Honest gentleman<comma> I know not your breeding,know not
162,Reply not to me with a fool-born jest,Reply not
163,Presume not that I am the thing I was<comma> For God doth know— so shall the world perceive— That I have turned away my former self,Presume not
164,Fear not your advancements,Fear not
165,Suffolk<comma> the new-made duke that rules the roast<comma> Hath given the duchy of Anjou and Maine Unto the poor King Reignier<comma> whose large style Agrees not with the leanness of his purse,Agrees not
166,Let not his smoothing words Bewitch your hearts; be wise and circumspect,Let not
167,Pirates may make cheap pennyworths of their pillage<comma> And purchase friends<comma> and give to courtesans<comma> Still reveling like lords till all be gone; Whileas the silly owner of the goods Weeps over them<comma> and wrings his hapless hands<comma> And shakes his head<comma> and trembling stands aloof<comma> While all is shared and all is borne away<comma> Ready to starve<comma> and dare not touch his own,dare not
168,Nor shall proud Lancaster usurp my right<comma> Nor hold the scepter in his childish fist<comma> Nor wear the diadem upon his head<comma> Whose churchlike humors fits not for a crown,fits not
169,Nay<comma> fear not<comma> man,fear not
170,Yet have I gold flies from another coast— I dare not say<comma> from the rich cardinal And from the great and new-made Duke of Suffolk<comma> Yet I do find it so,dare not
171,Hume<comma> if you take not heed<comma> you shall go near To call them both a pair of crafty knaves,take not
172,And<comma> madam<comma> list to me<comma> For I am bold to counsel you in this: Although we fancy not the Cardinal<comma> Yet must we join with him and with the lords Till we have brought Duke Humphrey in disgrace,fancy not
173,For my part<comma> noble lords<comma> I care not which; Or Somerset or York<comma> all’s one to me,care not
174,Whether your Grace be worthy<comma> yea or no<comma> Dispute not that,Dispute not
175,Believe me<comma> lords<comma> for flying at the brook I saw not better sport these seven years’ day,saw not
176,Yet<comma> by your leave<comma> the wind was very high<comma> And<comma> ten to one<comma> old Joan had not gone out,had not
177,I prithee peace<comma> Good queen<comma> and whet not on these furious peers<comma> For blessèd are the peacemakers on Earth,whet not
178,Ay<comma> where thou dar’st not peep,dar’st not
179,Believe me<comma> cousin Gloucester<comma> Had not your man put up the fowl so suddenly<comma> We had had more sport,Had not
180,In my opinion<comma> yet thou seest not well,seest not
181,Madam<comma> for myself<comma> to heaven I do appeal How I have loved my king and commonweal; And<comma> for my wife<comma> I know not how it stands,know not
182,It fails not yet<comma> but flourishes in thee And in thy sons<comma> fair slips of such a stock,fails not
183,Here<comma> neighbor Horner<comma> I drink to you in a cup of sack; and fear not<comma> neighbor<comma> you shall do well enough,fear not
184,Drink<comma> and fear not your man,fear not
185,Be merry<comma> Peter<comma> and fear not thy master,fear not
186,No<comma> stir not for your lives,stir not
187,But be thou mild<comma> and blush not at my shame<comma> Nor stir at nothing till the ax of death Hang over thee<comma> as<comma> sure<comma> it shortly will,blush not
188,But fear not thou until thy foot be snared<comma> Nor never seek prevention of thy foes,fear not
189,— And<comma> master sheriff<comma> Let not her penance exceed the King’s commission,Let not
190,I care not whither<comma> for I beg no favor; Only convey me where thou art commanded,care not
191,The fox barks not when he would steal the lamb,barks not
192,And now we three have spoke it<comma> It skills not greatly who impugns our doom,skills not
193,Hide not thy poison with such sugared words,Hide not
194,Lay not thy hands on me,Lay not
195,Look not upon me<comma> for thine eyes are wounding,Look not
196,What boded this<comma> but well forewarning wind Did seem to say“ Seek not a scorpion’s nest<comma> Nor set no footing on this unkind shore”,Seek not
197,The Commons<comma> like an angry hive of bees That want their leader<comma> scatter up and down And care not who they sting in his revenge,care not
198,What dares not Warwick<comma> if false Suffolk dare him,dares not
199,He dares not calm his contumelious spirit Nor cease to be an arrogant controller<comma> Though Suffolk dare him twenty thousand times,dares not
200,Go<comma> speak not to me,speak not
201,O<comma> go not yet,go not
202,Yet let not this make thee be bloody-minded; Thy name is Gualtier<comma> being rightly sounded,let not
203,Thou dar’st not for thy own,dar’st not
204,Drones suck not eagles’ blood<comma> but rob beehives,suck not
205,He need not fear the sword<comma> for his coat is of proof,need not
206,And will you credit this base drudge’s words<comma> That speaks he knows not what,knows not
207,We will not leave one lord<comma> one gentleman; Spare none but such as go in clouted shoon<comma> For they are thrifty<comma> honest men and such As would<comma> but that they dare not<comma> take our parts,dare not
208,Fear not that<comma> I warrant thee,Fear not
209,O<comma> graceless men<comma> they know not what they do,know not
210,Then linger not<comma> my lord,linger not
211,Trust not the Kentish rebels,Trust not
213,I sold not Maine; I lost not Normandy; Yet to recover them would lose my life,lost not
214,He has a familiar under his tongue; he speaks not i’ God’s name,speaks not
215,” Who hateth him and honors not his father<comma> Henry the Fifth<comma> that made all France to quake<comma> Shake he his weapon at us and pass by,honors not
216,God on our side<comma> doubt not of victory,doubt not
217,I will<comma> my lord<comma> and doubt not so to deal As all things shall redound unto your good,doubt not
218,These five days have I hid me in these woods and durst not peep out<comma> for all the country is laid for me,durst not
220,I seek not to wax great by others’ waning<comma> Or gather wealth<comma> I care not with what envy,care not
221,Steel<comma> if thou turn the edge or cut not out the burly-boned clown in chines of beef ere thou sleep in thy sheath<comma> I beseech God on my knees thou mayst be turned to hobnails,cut not
222,Let them obey that knows not how to rule,knows not
223,No<comma> thou art not king<comma> Not fit to govern and rule multitudes<comma> Which dar’st not— no<comma> nor canst not— rule a traitor,dar’st not
224,Speak not in spite<comma> For you shall sup with Jesu Christ tonight,Speak not
225,He that is truly dedicate to war Hath no self-love; nor he that loves himself Hath not essentially<comma> but by circumstance<comma> The name of valor,Hath not
226,Well<comma> lords<comma> we have not got that which we have; ’Tis not enough our foes are this time fled<comma> Being opposites of such repairing nature,have not
227,He durst not sit there had your father lived,durst not
228,Talk not of France<comma> sith thou hast lost it all,Talk not
229,I know not what to say; my title’s weak,know not
230,Plantagenet<comma> for all the claim thou lay’st<comma> Think not that Henry shall be so deposed,Think not
231,Not for myself<comma> Lord Warwick<comma> but my son<comma> Whom I unnaturally shall disinherit,disinherit Not
232,Nay<comma> go not from me,go not
233,Your right depends not on his life or death,depends not
234,Let noble Warwick<comma> Cobham<comma> and the rest<comma> Whom we have left Protectors of the King<comma> With powerful policy strengthen themselves And trust not simple Henry nor his oaths,trust not
235,Five men to twenty: though the odds be great<comma> I doubt not<comma> uncle<comma> of our victory,doubt not
236,Ah<comma> Clifford<comma> murder not this innocent child<comma> Lest thou be hated both of God and man,murder not
237,The sight of any of the house of York Is as a fury to torment my soul<comma> And till I root out their accursèd line And leave not one alive<comma> I live in hell,leave not
238,It needs not<comma> nor it boots thee not<comma> proud queen<comma> Unless the adage must be verified That beggars mounted run their horse to death,needs not
239,No longer Earl of March<comma> but Duke of York; The next degree is England’s royal throne: For King of England shalt thou be proclaimed In every borough as we pass along<comma> And he that throws not up his cap for joy Shall for the fault make forfeit of his head,throws not
240,Unreasonable creatures feed their young; And though man’s face be fearful to their eyes<comma> Yet in protection of their tender ones<comma> Who hath not seen them<comma> even with those wings Which sometime they have used with fearful flight<comma> Make war with him that climbed unto their nest<comma> Offering their own lives in their young’s defense,hath not
241,Gives not the hawthorn bush a sweeter shade To shepherds looking on their silly sheep Than doth a rich embroidered canopy To kings that fear their subjects’ treachery,Gives not
243,Pardon me<comma> God<comma> I knew not what I did; And pardon<comma> father<comma> for I knew not thee,knew not
244,Nay<comma> stay not to expostulate<comma> make speed; Or else come after; I’ll away before,stay not
245,Ah<comma> simple men<comma> you know not what you swear,know not
246,Why<comma> then<comma> you mean not as I thought you did,mean not
247,But<comma> mighty lord<comma> this merry inclination Accords not with the sadness of my suit,Accords not
248,And yet I know not how to get the crown<comma> For many lives stand between me and home; And I<comma> like one lost in a thorny wood<comma> That rents the thorns and is rent with the thorns<comma> Seeking a way and straying from the way<comma> Not knowing how to find the open air<comma> But toiling desperately to find it out<comma> Torment myself to catch the English crown,know not
249,Yield not thy neck To Fortune’s yoke<comma> but let thy dauntless mind Still ride in triumph over all mischance,Yield not
250,His demand Springs not from Edward’s well-meant honest love<comma> But from deceit<comma> bred by necessity; For how can tyrants safely govern home Unless abroad they purchase great alliance,Springs not
251,Look<comma> therefore<comma> Lewis<comma> that by this league and marriage Thou draw not on thy danger and dishonor; For though usurpers sway the rule awhile<comma> Yet heav’ns are just<comma> and time suppresseth wrongs,draw not
252,Oxford<comma> how haps it in this smooth discourse You told not how Henry the Sixth hath lost All that which Henry the Fifth had gotten,told not
253,Therefore<comma> delay not; give thy hand to Warwick<comma> And with thy hand<comma> thy faith irrevocable<comma> That only Warwick’s daughter shall be thine,delay not
254,Hath not our brother made a worthy choice,Hath not
255,Why<comma> knows not Montague that of itself England is safe<comma> if true within itself,knows not
256,And yet methinks your Grace hath not done well To give the heir and daughter of Lord Scales Unto the brother of your loving bride,hath not
257,I hear<comma> yet say not much<comma> but think the more,say not
258,My sovereign liege<comma> no letters and few words But such as I without your special pardon Dare not relate,Dare not
259,I blame not her; she could say little less; She had the wrong,blame not
260,My thoughts aim at a further matter: I stay not for the love of Edward<comma> but the crown,stay not
261,Fear not that<comma> my lord,Fear not
262,I say not“ slaughter him<comma>” For I intend but only to surprise him,say not
263,Alas<comma> how should you govern any kingdom That know not how to use ambassadors<comma> Nor how to be contented with one wife<comma> Nor how to use your brothers brotherly<comma> Nor how to study for the people’s welfare<comma> Nor how to shroud yourself from enemies,know not
264,What Fates impose<comma> that men must needs abide; It boots not to resist both wind and tide,boots not
265,My lord<comma> I like not of this flight of Edward’s<comma> For doubtless Burgundy will yield him help<comma> And we shall have more wars before ’t be long,like not
266,Brother<comma> I like not this,like not
267,The good old man would fain that all were well<comma> So ’twere not long of him; but being entered<comma> I doubt not<comma> I<comma> but we shall soon persuade Both him and all his brothers unto reason,doubt not
268,What<comma> fear not<comma> man<comma> but yield me up the keys,fear not
270,Come on<comma> brave soldiers; doubt not of the day; And that once gotten<comma> doubt not of large pay,doubt not
271,Fair lords<comma> take leave<comma> and stand not to reply,stand not
272,I have not stopped mine ears to their demands<comma> Nor posted off their suits with slow delays,have not
273,I have not been desirous of their wealth Nor much oppressed them with great subsidies<comma> Nor forward of revenge<comma> though they much erred,have not
274,A little gale will soon disperse that cloud And blow it to the source from whence it came; Thy very beams will dry those vapors up<comma> For every cloud engenders not a storm,engenders not
275,I speak not this as doubting any here<comma> For did I but suspect a fearful man<comma> He should have leave to go away betimes<comma> Lest in our need he might infect another And make him of like spirit to himself,speak not
276,I need not add more fuel to your fire<comma> For<comma> well I wot<comma> you blaze to burn them out,need not
277,Let Aesop fable in a winter’s night; His currish riddles sorts not with this place,sorts not
278,Hadst thou been killed when first thou didst presume<comma> Thou hadst not lived to kill a son of mine,hadst not
279,But it is certain I am loved of all ladies<comma> only you excepted; and I would I could find in my heart that I had not a hard heart<comma> for truly I love none,had not
280,In faith<comma> hath not the world one man but he will wear his cap with suspicion,hath not
281,What secret hath held you here that you followed not to Leonato’s,followed not
282,If my passion change not shortly<comma> God forbid it should be otherwise,change not
283,Nay<comma> if Cupid have not spent all his quiver in Venice<comma> thou wilt quake for this shortly,have not
284,Nay<comma> mock not<comma> mock not,mock not
285,But<comma> brother<comma> I can tell you strange news that you yet dreamt not of,dreamt not
286,I am trusted with a muzzle and enfranchised with a clog; therefore I have decreed not to sing in my cage,decreed not
287,In the meantime<comma> let me be that I am<comma> and seek not to alter me,seek not
288,Yet it had not been amiss the rod had been made<comma> and the garland too<comma> for the garland he might have worn himself<comma> and the rod he might have bestowed on you<comma> who<comma> as I take it<comma> have stolen his bird’s nest,had not
289,Come<comma> talk not of her,talk not
290,Speak<comma> cousin<comma> or<comma> if you cannot<comma> stop his mouth with a kiss and let not him speak neither,let not
291,I would fain have it a match<comma> and I doubt not but to fashion it<comma> if you three will but minister such assistance as I shall give you direction,doubt not
292,Go you to the Prince your brother; spare not to tell him that he hath wronged his honor in marrying the renowned Claudio<comma> whose estimation do you mightily hold up<comma> to a contaminated stale<comma> such a one as Hero,spare not
293,Rich she shall be<comma> that’s certain; wise<comma> or I’ll none; virtuous<comma> or I’ll never cheapen her; fair<comma> or I’ll never look on her; mild<comma> or come not near me; noble<comma> or not I for an angel; of good discourse<comma> an excellent musician<comma> and her hair shall be of what color it please God,come not
294,O<comma> good my lord<comma> tax not so bad a voice To slander music any more than once,tax not
295,Because you talk of wooing<comma> I will sing<comma> Since many a wooer doth commence his suit To her he thinks not worthy<comma> yet he woos<comma> Yet will he swear he loves,thinks not
296,Then sigh not so<comma> but let them go<comma> And be you blithe and bonny<comma> Converting all your sounds of woe Into Hey<comma> nonny nonny,sigh not
297,And so will he do<comma> for the man doth fear God<comma> howsoever it seems not in him by some large jests he will make,seems not
